,Provincias,Sexo,Periodo,Poblacion,Defunciones,Nacimientos,Delitos,Tasa de mortalidad,Tasa de natalidad,Tasa de criminalidad
0,01-Álava,Hombres,1975,,893,2448,,,,
1,01-Álava,Hombres,1976,,944,2508,,,,
2,01-Álava,Hombres,1977,,906,2429,,,,
3,01-Álava,Hombres,1978,,930,2319,,,,
4,01-Álava,Hombres,1979,,865,2089,,,,
5,01-Álava,Hombres,1980,,860,2102,,,,
6,01-Álava,Hombres,1981,,786,1889,,,,
7,01-Álava,Hombres,1982,,738,1784,,,,
8,01-Álava,Hombres,1983,,809,1754,,,,
9,01-Álava,Hombres,1984,,817,1635,,,,
10,01-Álava,Hombres,1985,,861,1527,,,,
11,01-Álava,Hombres,1986,,905,1431,,,,
12,01-Álava,Hombres,1987,,877,1361,,,,
13,01-Álava,Hombres,1988,,998,1322,,,,
14,01-Álava,Hombres,1989,,978,1279,,,,
15,01-Álava,Hombres,1990,,1047,1179,,,,
16,01-Álava,Hombres,1991,,1081,1187,,,,
17,01-Álava,Hombres,1992,,1038,1156,,,,
18,01-Álava,Hombres,1993,,1066,1145,,,,
19,01-Álava,Hombres,1994,,1091,1032,,,,
20,01-Álava,Hombres,1995,,1168,1073,,,,
21,01-Álava,Hombres,1996,139940,1132,1175,,8.09,8.4,
22,01-Álava,Hombres,1997,,1154,1141,,,,
23,01-Álava,Hombres,1998,141350,1159,1137,,8.2,8.04,
24,01-Álava,Hombres,1999,141900,1228,1137,,8.65,8.01,
25,01-Álava,Hombres,2000,142269,1203,1283,,8.46,9.02,
26,01-Álava,Hombres,2001,143579,1224,1231,,8.52,8.57,
27,01-Álava,Hombres,2002,145251,1136,1276,,7.82,8.78,
28,01-Álava,Hombres,2003,146651,1229,1390,,8.38,9.48,
29,01-Álava,Hombres,2004,147475,1197,1452,,8.12,9.85,
30,01-Álava,Hombres,2005,149623,1396,1405,,9.33,9.39,
31,01-Álava,Hombres,2006,150297,1223,1523,,8.14,10.13,
32,01-Álava,Hombres,2007,152040,1282,1520,,8.43,10.0,
33,01-Álava,Hombres,2008,154376,1277,1676,,8.27,10.86,
34,01-Álava,Hombres,2009,156418,1316,1685,,8.41,10.77,
35,01-Álava,Hombres,2010,158322,1278,1740,,8.07,10.99,
36,01-Álava,Hombres,2011,159041,1378,1742,,8.66,10.95,
37,01-Álava,Hombres,2012,160649,1320,1740,,8.22,10.83,
38,01-Álava,Hombres,2013,159622,1401,1618,,8.78,10.14,
39,01-Álava,Hombres,2014,159583,1264,1676,,7.92,10.5,
40,01-Álava,Hombres,2015,160294,1410,1635,,8.8,10.2,
41,01-Álava,Hombres,2016,160240,1422,1546,2291.0,8.87,9.65,14.3
42,01-Álava,Hombres,2017,161354,1466,1498,2575.0,9.09,9.28,15.96
43,01-Álava,Hombres,2018,162175,1449,1386,2756.0,8.93,8.55,16.99
44,01-Álava,Hombres,2019,163499,1447,1312,2452.0,8.85,8.02,15.0
45,01-Álava,Hombres,2020,164524,1717,1238,2022.0,10.44,7.52,12.29
46,01-Álava,Hombres,2021,164252,1560,1237,2916.0,9.5,7.53,17.75
47,01-Álava,Hombres,2022,,1582,1180,2966.0,,,
48,01-Álava,Mujeres,1975,,641,2385,,,,
49,01-Álava,Mujeres,1976,,663,2301,,,,
50,01-Álava,Mujeres,1977,,678,2205,,,,
51,01-Álava,Mujeres,1978,,687,2241,,,,
52,01-Álava,Mujeres,1979,,690,2074,,,,
53,01-Álava,Mujeres,1980,,677,1815,,,,
54,01-Álava,Mujeres,1981,,675,1821,,,,
55,01-Álava,Mujeres,1982,,630,1652,,,,
56,01-Álava,Mujeres,1983,,704,1620,,,,
57,01-Álava,Mujeres,1984,,634,1473,,,,
58,01-Álava,Mujeres,1985,,775,1481,,,,
59,01-Álava,Mujeres,1986,,709,1297,,,,
60,01-Álava,Mujeres,1987,,715,1243,,,,
61,01-Álava,Mujeres,1988,,749,1301,,,,
62,01-Álava,Mujeres,1989,,778,1140,,,,
63,01-Álava,Mujeres,1990,,840,1145,,,,
64,01-Álava,Mujeres,1991,,837,1104,,,,
65,01-Álava,Mujeres,1992,,786,1088,,,,
66,01-Álava,Mujeres,1993,,830,1116,,,,
67,01-Álava,Mujeres,1994,,841,990,,,,
68,01-Álava,Mujeres,1995,,883,1010,,,,
69,01-Álava,Mujeres,1996,141881,957,1073,,6.75,7.56,
70,01-Álava,Mujeres,1997,,884,1085,,,,
71,01-Álava,Mujeres,1998,143245,948,1112,,6.62,7.76,
72,01-Álava,Mujeres,1999,143848,1044,1185,,7.26,8.24,
73,01-Álava,Mujeres,2000,144228,989,1203,,6.86,8.34,
74,01-Álava,Mujeres,2001,145214,996,1204,,6.86,8.29,
75,01-Álava,Mujeres,2002,146609,1032,1215,,7.04,8.29,
76,01-Álava,Mujeres,2003,147709,1128,1303,,7.64,8.82,
77,01-Álava,Mujeres,2004,148430,1078,1358,,7.26,9.15,
78,01-Álava,Mujeres,2005,150334,1104,1386,,7.34,9.22,
79,01-Álava,Mujeres,2006,151629,1024,1394,,6.75,9.19,
80,01-Álava,Mujeres,2007,153419,1132,1513,,7.38,9.86,
81,01-Álava,Mujeres,2008,155259,1135,1534,,7.31,9.88,
82,01-Álava,Mujeres,2009,157401,1174,1537,,7.46,9.76,
83,01-Álava,Mujeres,2010,159030,1152,1608,,7.24,10.11,
84,01-Álava,Mujeres,2011,160186,1141,1685,,7.12,10.52,
85,01-Álava,Mujeres,2012,161908,1201,1553,,7.42,9.59,
86,01-Álava,Mujeres,2013,161795,1182,1481,,7.31,9.15,
87,01-Álava,Mujeres,2014,162349,1212,1601,,7.47,9.86,
88,01-Álava,Mujeres,2015,163354,1356,1523,,8.3,9.32,
89,01-Álava,Mujeres,2016,163886,1266,1528,648.0,7.72,9.32,3.95
90,01-Álava,Mujeres,2017,165220,1346,1464,659.0,8.15,8.86,3.99
91,01-Álava,Mujeres,2018,166693,1316,1297,759.0,7.89,7.78,4.55
92,01-Álava,Mujeres,2019,168050,1291,1256,639.0,7.68,7.47,3.8
93,01-Álava,Mujeres,2020,169416,1550,1160,533.0,9.15,6.85,3.15
94,01-Álava,Mujeres,2021,169374,1412,1132,741.0,8.34,6.68,4.37
95,01-Álava,Mujeres,2022,,1590,1093,725.0,,,
96,01-Álava,Total,1975,,1534,4833,,,,
97,01-Álava,Total,1976,,1607,4809,,,,
98,01-Álava,Total,1977,,1584,4634,,,,
99,01-Álava,Total,1978,,1617,4560,,,,
100,01-Álava,Total,1979,,1555,4163,,,,
101,01-Álava,Total,1980,,1537,3917,,,,
102,01-Álava,Total,1981,,1461,3710,,,,
103,01-Álava,Total,1982,,1368,3436,,,,
104,01-Álava,Total,1983,,1513,3374,,,,
105,01-Álava,Total,1984,,1451,3108,,,,
106,01-Álava,Total,1985,,1636,3008,,,,
107,01-Álava,Total,1986,,1614,2728,,,,
108,01-Álava,Total,1987,,1592,2604,,,,
109,01-Álava,Total,1988,,1747,2623,,,,
110,01-Álava,Total,1989,,1756,2419,,,,
111,01-Álava,Total,1990,,1887,2324,,,,
112,01-Álava,Total,1991,,1918,2291,,,,
113,01-Álava,Total,1992,,1824,2244,,,,
114,01-Álava,Total,1993,,1896,2261,,,,
115,01-Álava,Total,1994,,1932,2022,,,,
116,01-Álava,Total,1995,,2051,2083,,,,
117,01-Álava,Total,1996,281821,2089,2248,,7.41,7.98,
118,01-Álava,Total,1997,,2038,2226,,,,
119,01-Álava,Total,1998,284595,2107,2249,,7.4,7.9,
120,01-Álava,Total,1999,285748,2272,2322,,7.95,8.13,
121,01-Álava,Total,2000,286497,2192,2486,,7.65,8.68,
122,01-Álava,Total,2001,288793,2220,2435,,7.69,8.43,
123,01-Álava,Total,2002,291860,2168,2491,,7.43,8.53,
124,01-Álava,Total,2003,294360,2357,2693,,8.01,9.15,
125,01-Álava,Total,2004,295905,2275,2810,,7.69,9.5,
126,01-Álava,Total,2005,299957,2500,2791,,8.33,9.3,
127,01-Álava,Total,2006,301926,2247,2917,,7.44,9.66,
128,01-Álava,Total,2007,305459,2414,3033,,7.9,9.93,
129,01-Álava,Total,2008,309635,2412,3210,,7.79,10.37,
130,01-Álava,Total,2009,313819,2490,3222,,7.93,10.27,
131,01-Álava,Total,2010,317352,2430,3348,,7.66,10.55,
132,01-Álava,Total,2011,319227,2519,3427,,7.89,10.74,
133,01-Álava,Total,2012,322557,2521,3293,,7.82,10.21,
134,01-Álava,Total,2013,321417,2583,3099,,8.04,9.64,
135,01-Álava,Total,2014,321932,2476,3277,,7.69,10.18,
136,01-Álava,Total,2015,323648,2766,3158,,8.55,9.76,
137,01-Álava,Total,2016,324126,2688,3074,2939.0,8.29,9.48,9.07
138,01-Álava,Total,2017,326574,2812,2962,3234.0,8.61,9.07,9.9
139,01-Álava,Total,2018,328868,2765,2683,3515.0,8.41,8.16,10.69
140,01-Álava,Total,2019,331549,2738,2568,3091.0,8.26,7.75,9.32
141,01-Álava,Total,2020,333940,3267,2398,2555.0,9.78,7.18,7.65
142,01-Álava,Total,2021,333626,2972,2369,3657.0,8.91,7.1,10.96
143,01-Álava,Total,2022,,3172,2273,3691.0,,,
144,02-Albacete,Hombres,1975,,1635,3072,,,,
145,02-Albacete,Hombres,1976,,1578,3134,,,,
146,02-Albacete,Hombres,1977,,1637,2958,,,,
147,02-Albacete,Hombres,1978,,1573,3085,,,,
148,02-Albacete,Hombres,1979,,1493,2817,,,,
149,02-Albacete,Hombres,1980,,1584,2685,,,,
150,02-Albacete,Hombres,1981,,1592,2627,,,,
151,02-Albacete,Hombres,1982,,1446,2739,,,,
152,02-Albacete,Hombres,1983,,1563,2595,,,,
153,02-Albacete,Hombres,1984,,1542,2483,,,,
154,02-Albacete,Hombres,1985,,1582,2311,,,,
155,02-Albacete,Hombres,1986,,1545,2268,,,,
156,02-Albacete,Hombres,1987,,1456,2286,,,,
157,02-Albacete,Hombres,1988,,1496,2175,,,,
158,02-Albacete,Hombres,1989,,1506,2201,,,,
159,02-Albacete,Hombres,1990,,1416,2265,,,,
160,02-Albacete,Hombres,1991,,1591,2084,,,,
161,02-Albacete,Hombres,1992,,1587,2108,,,,
162,02-Albacete,Hombres,1993,,1683,2050,,,,
163,02-Albacete,Hombres,1994,,1583,1998,,,,
164,02-Albacete,Hombres,1995,,1589,2044,,,,
165,02-Albacete,Hombres,1996,178130,1698,2004,,9.53,11.25,
166,02-Albacete,Hombres,1997,,1553,1917,,,,
167,02-Albacete,Hombres,1998,178058,1733,1906,,9.73,10.7,
168,02-Albacete,Hombres,1999,179210,1617,1909,,9.02,10.65,
169,02-Albacete,Hombres,2000,180311,1645,1869,,9.12,10.37,
170,02-Albacete,Hombres,2001,182826,1665,1838,,9.11,10.05,
171,02-Albacete,Hombres,2002,185458,1674,1862,,9.03,10.04,
172,02-Albacete,Hombres,2003,188139,1741,1982,,9.25,10.53,
173,02-Albacete,Hombres,2004,189743,1667,1943,,8.79,10.24,
174,02-Albacete,Hombres,2005,192624,1735,1964,,9.01,10.2,
175,02-Albacete,Hombres,2006,194348,1704,2079,,8.77,10.7,
176,02-Albacete,Hombres,2007,196772,1775,1922,,9.02,9.77,
177,02-Albacete,Hombres,2008,199820,1789,2122,,8.95,10.62,
178,02-Albacete,Hombres,2009,201162,1816,2114,,9.03,10.51,
179,02-Albacete,Hombres,2010,201396,1687,2057,,8.38,10.21,
180,02-Albacete,Hombres,2011,201400,1776,2078,,8.82,10.32,
181,02-Albacete,Hombres,2012,201640,1874,1861,,9.29,9.23,
182,02-Albacete,Hombres,2013,200016,1810,1896,,9.05,9.48,
183,02-Albacete,Hombres,2014,198230,1963,1883,,9.9,9.5,
184,02-Albacete,Hombres,2015,197014,1874,1818,,9.51,9.23,
185,02-Albacete,Hombres,2016,195841,1863,1746,2296.0,9.51,8.92,11.72
186,02-Albacete,Hombres,2017,194743,1891,1685,2384.0,9.71,8.65,12.24
187,02-Albacete,Hombres,2018,194158,1905,1583,2245.0,9.81,8.15,11.56
188,02-Albacete,Hombres,2019,193911,1884,1487,2017.0,9.72,7.67,10.4
189,02-Albacete,Hombres,2020,194081,2472,1410,1664.0,12.74,7.27,8.57
190,02-Albacete,Hombres,2021,193205,1999,1449,1901.0,10.35,7.5,9.84
191,02-Albacete,Hombres,2022,,2073,1406,2080.0,,,
192,02-Albacete,Mujeres,1975,,1519,2855,,,,
193,02-Albacete,Mujeres,1976,,1480,2935,,,,
194,02-Albacete,Mujeres,1977,,1444,2742,,,,
195,02-Albacete,Mujeres,1978,,1491,2784,,,,
196,02-Albacete,Mujeres,1979,,1497,2637,,,,
197,02-Albacete,Mujeres,1980,,1458,2523,,,,
198,02-Albacete,Mujeres,1981,,1384,2445,,,,
199,02-Albacete,Mujeres,1982,,1326,2425,,,,
200,02-Albacete,Mujeres,1983,,1407,2244,,,,
201,02-Albacete,Mujeres,1984,,1361,2283,,,,
202,02-Albacete,Mujeres,1985,,1478,2104,,,,
203,02-Albacete,Mujeres,1986,,1393,2123,,,,
204,02-Albacete,Mujeres,1987,,1404,2180,,,,
205,02-Albacete,Mujeres,1988,,1375,2018,,,,
206,02-Albacete,Mujeres,1989,,1354,2079,,,,
207,02-Albacete,Mujeres,1990,,1250,2068,,,,
208,02-Albacete,Mujeres,1991,,1448,1990,,,,
209,02-Albacete,Mujeres,1992,,1461,2050,,,,
210,02-Albacete,Mujeres,1993,,1480,1841,,,,
211,02-Albacete,Mujeres,1994,,1446,1944,,,,
212,02-Albacete,Mujeres,1995,,1376,1850,,,,
213,02-Albacete,Mujeres,1996,180880,1426,1795,,7.88,9.92,
214,02-Albacete,Mujeres,1997,,1416,1795,,,,
215,02-Albacete,Mujeres,1998,180539,1506,1790,,8.34,9.91,
216,02-Albacete,Mujeres,1999,181811,1452,1757,,7.99,9.66,
217,02-Albacete,Mujeres,2000,182952,1496,1795,,8.18,9.81,
218,02-Albacete,Mujeres,2001,184457,1398,1799,,7.58,9.75,
219,02-Albacete,Mujeres,2002,186329,1478,1832,,7.93,9.83,
220,02-Albacete,Mujeres,2003,188417,1595,1829,,8.47,9.71,
221,02-Albacete,Mujeres,2004,189705,1581,1707,,8.33,9.0,
222,02-Albacete,Mujeres,2005,192016,1609,1789,,8.38,9.32,
223,02-Albacete,Mujeres,2006,193310,1549,1930,,8.01,9.98,
224,02-Albacete,Mujeres,2007,195338,1589,1760,,8.13,9.01,
225,02-Albacete,Mujeres,2008,197673,1624,1970,,8.22,9.97,
226,02-Albacete,Mujeres,2009,199729,1608,2037,,8.05,10.2,
227,02-Albacete,Mujeres,2010,200286,1616,1994,,8.07,9.96,
228,02-Albacete,Mujeres,2011,200918,1678,1874,,8.35,9.33,
229,02-Albacete,Mujeres,2012,201197,1789,1837,,8.89,9.13,
230,02-Albacete,Mujeres,2013,199991,1698,1702,,8.49,8.51,
231,02-Albacete,Mujeres,2014,198757,1757,1693,,8.84,8.52,
232,02-Albacete,Mujeres,2015,197566,1826,1658,,9.24,8.39,
233,02-Albacete,Mujeres,2016,196277,1807,1613,416.0,9.21,8.22,2.12
234,02-Albacete,Mujeres,2017,195289,1845,1534,516.0,9.45,7.86,2.64
235,02-Albacete,Mujeres,2018,194628,1822,1457,543.0,9.36,7.49,2.79
236,02-Albacete,Mujeres,2019,194256,1847,1385,469.0,9.51,7.13,2.41
237,02-Albacete,Mujeres,2020,194189,2396,1363,353.0,12.34,7.02,1.82
238,02-Albacete,Mujeres,2021,193259,1782,1341,419.0,9.22,6.94,2.17
239,02-Albacete,Mujeres,2022,,1903,1292,479.0,,,
240,02-Albacete,Total,1975,,3154,5927,,,,
241,02-Albacete,Total,1976,,3058,6069,,,,
242,02-Albacete,Total,1977,,3081,5700,,,,
243,02-Albacete,Total,1978,,3064,5869,,,,
244,02-Albacete,Total,1979,,2990,5454,,,,
245,02-Albacete,Total,1980,,3042,5208,,,,
246,02-Albacete,Total,1981,,2976,5072,,,,
247,02-Albacete,Total,1982,,2772,5164,,,,
248,02-Albacete,Total,1983,,2970,4839,,,,
249,02-Albacete,Total,1984,,2903,4766,,,,
250,02-Albacete,Total,1985,,3060,4415,,,,
251,02-Albacete,Total,1986,,2938,4391,,,,
252,02-Albacete,Total,1987,,2860,4466,,,,
253,02-Albacete,Total,1988,,2871,4193,,,,
254,02-Albacete,Total,1989,,2860,4280,,,,
255,02-Albacete,Total,1990,,2666,4333,,,,
256,02-Albacete,Total,1991,,3039,4074,,,,
257,02-Albacete,Total,1992,,3048,4158,,,,
258,02-Albacete,Total,1993,,3163,3891,,,,
259,02-Albacete,Total,1994,,3029,3942,,,,
260,02-Albacete,Total,1995,,2965,3894,,,,
261,02-Albacete,Total,1996,359010,3124,3799,,8.7,10.58,
262,02-Albacete,Total,1997,,2969,3712,,,,
263,02-Albacete,Total,1998,358597,3239,3696,,9.03,10.31,
264,02-Albacete,Total,1999,361021,3069,3666,,8.5,10.15,
265,02-Albacete,Total,2000,363263,3141,3664,,8.65,10.09,
266,02-Albacete,Total,2001,367283,3063,3637,,8.34,9.9,
267,02-Albacete,Total,2002,371787,3152,3694,,8.48,9.94,
268,02-Albacete,Total,2003,376556,3336,3811,,8.86,10.12,
269,02-Albacete,Total,2004,379448,3248,3650,,8.56,9.62,
270,02-Albacete,Total,2005,384640,3344,3753,,8.69,9.76,
271,02-Albacete,Total,2006,387658,3253,4009,,8.39,10.34,
272,02-Albacete,Total,2007,392110,3364,3682,,8.58,9.39,
273,02-Albacete,Total,2008,397493,3413,4092,,8.59,10.29,
274,02-Albacete,Total,2009,400891,3424,4151,,8.54,10.35,
275,02-Albacete,Total,2010,401682,3303,4051,,8.22,10.09,
276,02-Albacete,Total,2011,402318,3454,3952,,8.59,9.82,
277,02-Albacete,Total,2012,402837,3663,3698,,9.09,9.18,
278,02-Albacete,Total,2013,400007,3508,3598,,8.77,8.99,
279,02-Albacete,Total,2014,396987,3720,3576,,9.37,9.01,
280,02-Albacete,Total,2015,394580,3700,3476,,9.38,8.81,
281,02-Albacete,Total,2016,392118,3670,3359,2712.0,9.36,8.57,6.92
282,02-Albacete,Total,2017,390032,3736,3219,2900.0,9.58,8.25,7.44
283,02-Albacete,Total,2018,388786,3727,3040,2788.0,9.59,7.82,7.17
284,02-Albacete,Total,2019,388167,3731,2872,2486.0,9.61,7.4,6.4
285,02-Albacete,Total,2020,388270,4868,2773,2017.0,12.54,7.14,5.19
286,02-Albacete,Total,2021,386464,3781,2790,2320.0,9.78,7.22,6.0
287,02-Albacete,Total,2022,,3976,2698,2559.0,,,
288,03-Alicante/Alacant,Hombres,1975,,4769,10878,,,,
289,03-Alicante/Alacant,Hombres,1976,,4785,11228,,,,
290,03-Alicante/Alacant,Hombres,1977,,4763,11127,,,,
291,03-Alicante/Alacant,Hombres,1978,,4773,10914,,,,
292,03-Alicante/Alacant,Hombres,1979,,4852,10463,,,,
293,03-Alicante/Alacant,Hombres,1980,,4760,9998,,,,
294,03-Alicante/Alacant,Hombres,1981,,4761,9579,,,,
295,03-Alicante/Alacant,Hombres,1982,,4801,9174,,,,
296,03-Alicante/Alacant,Hombres,1983,,4807,8568,,,,
297,03-Alicante/Alacant,Hombres,1984,,4771,8453,,,,
298,03-Alicante/Alacant,Hombres,1985,,5087,7983,,,,
299,03-Alicante/Alacant,Hombres,1986,,5033,7968,,,,
300,03-Alicante/Alacant,Hombres,1987,,5084,7818,,,,
301,03-Alicante/Alacant,Hombres,1988,,5434,7856,,,,
302,03-Alicante/Alacant,Hombres,1989,,5464,7501,,,,
303,03-Alicante/Alacant,Hombres,1990,,5593,7697,,,,
304,03-Alicante/Alacant,Hombres,1991,,5665,7537,,,,
305,03-Alicante/Alacant,Hombres,1992,,5633,7316,,,,
306,03-Alicante/Alacant,Hombres,1993,,5723,7027,,,,
307,03-Alicante/Alacant,Hombres,1994,,5775,6806,,,,
308,03-Alicante/Alacant,Hombres,1995,,5890,6716,,,,
309,03-Alicante/Alacant,Hombres,1996,677118,6042,6704,,8.92,9.9,
310,03-Alicante/Alacant,Hombres,1997,,6224,6654,,,,
311,03-Alicante/Alacant,Hombres,1998,682380,6148,6830,,9.01,10.01,
312,03-Alicante/Alacant,Hombres,1999,693933,6640,6948,,9.57,10.01,
313,03-Alicante/Alacant,Hombres,2000,710896,6469,7580,,9.1,10.66,
314,03-Alicante/Alacant,Hombres,2001,735179,6751,7929,,9.18,10.79,
315,03-Alicante/Alacant,Hombres,2002,772613,6818,8150,,8.82,10.55,
316,03-Alicante/Alacant,Hombres,2003,811672,7083,8827,,8.73,10.88,
317,03-Alicante/Alacant,Hombres,2004,825568,6971,9152,,8.44,11.09,
318,03-Alicante/Alacant,Hombres,2005,866000,7201,9336,,8.32,10.78,
319,03-Alicante/Alacant,Hombres,2006,892862,7068,9792,,7.92,10.97,
320,03-Alicante/Alacant,Hombres,2007,913455,7444,9880,,8.15,10.82,
321,03-Alicante/Alacant,Hombres,2008,947523,7552,10446,,7.97,11.02,
322,03-Alicante/Alacant,Hombres,2009,958200,7287,9484,,7.6,9.9,
323,03-Alicante/Alacant,Hombres,2010,961733,7409,9468,,7.7,9.84,
324,03-Alicante/Alacant,Hombres,2011,964560,7534,8904,,7.81,9.23,
325,03-Alicante/Alacant,Hombres,2012,969237,8098,8545,,8.36,8.82,
326,03-Alicante/Alacant,Hombres,2013,968927,7610,8233,,7.85,8.5,
327,03-Alicante/Alacant,Hombres,2014,928519,7754,8182,,8.35,8.81,
328,03-Alicante/Alacant,Hombres,2015,920920,8311,8276,,9.02,8.99,
329,03-Alicante/Alacant,Hombres,2016,911173,7910,7946,13768.0,8.68,8.72,15.11
330,03-Alicante/Alacant,Hombres,2017,904711,8370,7711,15371.0,9.25,8.52,16.99
331,03-Alicante/Alacant,Hombres,2018,911097,8500,7307,16865.0,9.33,8.02,18.51
332,03-Alicante/Alacant,Hombres,2019,920915,8458,7301,18205.0,9.18,7.93,19.77
333,03-Alicante/Alacant,Hombres,2020,931856,9381,6829,13659.0,10.07,7.33,14.66
334,03-Alicante/Alacant,Hombres,2021,932018,9775,6913,16367.0,10.49,7.42,17.56
335,03-Alicante/Alacant,Hombres,2022,,9623,6842,17423.0,,,
336,03-Alicante/Alacant,Mujeres,1975,,4268,10160,,,,
337,03-Alicante/Alacant,Mujeres,1976,,4281,10618,,,,
338,03-Alicante/Alacant,Mujeres,1977,,4231,10177,,,,
339,03-Alicante/Alacant,Mujeres,1978,,4480,10030,,,,
340,03-Alicante/Alacant,Mujeres,1979,,4305,9594,,,,
341,03-Alicante/Alacant,Mujeres,1980,,4268,9368,,,,
342,03-Alicante/Alacant,Mujeres,1981,,4294,9046,,,,
343,03-Alicante/Alacant,Mujeres,1982,,4319,8445,,,,
344,03-Alicante/Alacant,Mujeres,1983,,4410,7914,,,,
345,03-Alicante/Alacant,Mujeres,1984,,4072,7503,,,,
346,03-Alicante/Alacant,Mujeres,1985,,4301,7531,,,,
347,03-Alicante/Alacant,Mujeres,1986,,4551,7371,,,,
348,03-Alicante/Alacant,Mujeres,1987,,4463,7224,,,,
349,03-Alicante/Alacant,Mujeres,1988,,4793,7354,,,,
350,03-Alicante/Alacant,Mujeres,1989,,4914,7189,,,,
351,03-Alicante/Alacant,Mujeres,1990,,4927,7142,,,,
352,03-Alicante/Alacant,Mujeres,1991,,4796,7009,,,,
353,03-Alicante/Alacant,Mujeres,1992,,4704,6897,,,,
354,03-Alicante/Alacant,Mujeres,1993,,5042,6590,,,,
355,03-Alicante/Alacant,Mujeres,1994,,5013,6485,,,,
356,03-Alicante/Alacant,Mujeres,1995,,5034,6393,,,,
357,03-Alicante/Alacant,Mujeres,1996,702644,5109,6319,,7.27,8.99,
358,03-Alicante/Alacant,Mujeres,1997,,5233,6157,,,,
359,03-Alicante/Alacant,Mujeres,1998,706553,5436,6305,,7.69,8.92,
360,03-Alicante/Alacant,Mujeres,1999,717013,5591,6774,,7.8,9.45,
361,03-Alicante/Alacant,Mujeres,2000,734248,5494,6929,,7.48,9.44,
362,03-Alicante/Alacant,Mujeres,2001,755086,5715,7248,,7.57,9.6,
363,03-Alicante/Alacant,Mujeres,2002,785355,5734,7705,,7.3,9.81,
364,03-Alicante/Alacant,Mujeres,2003,820677,6297,8240,,7.67,10.04,
365,03-Alicante/Alacant,Mujeres,2004,831472,6033,8503,,7.26,10.23,
366,03-Alicante/Alacant,Mujeres,2005,866389,6326,8793,,7.3,10.15,
367,03-Alicante/Alacant,Mujeres,2006,890693,6107,9060,,6.86,10.17,
368,03-Alicante/Alacant,Mujeres,2007,911809,6295,9203,,6.9,10.09,
369,03-Alicante/Alacant,Mujeres,2008,943954,6314,9756,,6.69,10.34,
370,03-Alicante/Alacant,Mujeres,2009,958812,6395,8857,,6.67,9.24,
371,03-Alicante/Alacant,Mujeres,2010,964552,6584,8719,,6.83,9.04,
372,03-Alicante/Alacant,Mujeres,2011,969567,6714,8342,,6.92,8.6,
373,03-Alicante/Alacant,Mujeres,2012,974673,7108,8132,,7.29,8.34,
374,03-Alicante/Alacant,Mujeres,2013,976715,6931,7599,,7.1,7.78,
375,03-Alicante/Alacant,Mujeres,2014,939919,7123,7798,,7.58,8.3,
376,03-Alicante/Alacant,Mujeres,2015,934127,7542,7628,,8.07,8.17,
377,03-Alicante/Alacant,Mujeres,2016,925286,7245,7313,2741.0,7.83,7.9,2.96
378,03-Alicante/Alacant,Mujeres,2017,920621,7604,7328,3303.0,8.26,7.96,3.59
379,03-Alicante/Alacant,Mujeres,2018,927722,7770,6854,3801.0,8.38,7.39,4.1
380,03-Alicante/Alacant,Mujeres,2019,937768,7450,6745,4095.0,7.94,7.19,4.37
381,03-Alicante/Alacant,Mujeres,2020,948032,8174,6505,2968.0,8.62,6.86,3.13
382,03-Alicante/Alacant,Mujeres,2021,949744,8616,6458,3511.0,9.07,6.8,3.7
383,03-Alicante/Alacant,Mujeres,2022,,8404,6420,3741.0,,,
384,03-Alicante/Alacant,Total,1975,,9037,21038,,,,
385,03-Alicante/Alacant,Total,1976,,9066,21846,,,,
386,03-Alicante/Alacant,Total,1977,,8994,21304,,,,
387,03-Alicante/Alacant,Total,1978,,9253,20944,,,,
388,03-Alicante/Alacant,Total,1979,,9157,20057,,,,
389,03-Alicante/Alacant,Total,1980,,9028,19366,,,,
390,03-Alicante/Alacant,Total,1981,,9055,18625,,,,
391,03-Alicante/Alacant,Total,1982,,9120,17619,,,,
392,03-Alicante/Alacant,Total,1983,,9217,16482,,,,
393,03-Alicante/Alacant,Total,1984,,8843,15956,,,,
394,03-Alicante/Alacant,Total,1985,,9388,15514,,,,
395,03-Alicante/Alacant,Total,1986,,9584,15339,,,,
396,03-Alicante/Alacant,Total,1987,,9547,15042,,,,
397,03-Alicante/Alacant,Total,1988,,10227,15210,,,,
398,03-Alicante/Alacant,Total,1989,,10378,14690,,,,
399,03-Alicante/Alacant,Total,1990,,10520,14839,,,,
400,03-Alicante/Alacant,Total,1991,,10461,14546,,,,
401,03-Alicante/Alacant,Total,1992,,10337,14213,,,,
402,03-Alicante/Alacant,Total,1993,,10765,13617,,,,
403,03-Alicante/Alacant,Total,1994,,10788,13291,,,,
404,03-Alicante/Alacant,Total,1995,,10924,13109,,,,
405,03-Alicante/Alacant,Total,1996,1379762,11151,13023,,8.08,9.44,
406,03-Alicante/Alacant,Total,1997,,11457,12811,,,,
407,03-Alicante/Alacant,Total,1998,1388933,11584,13135,,8.34,9.46,
408,03-Alicante/Alacant,Total,1999,1410946,12231,13722,,8.67,9.73,
409,03-Alicante/Alacant,Total,2000,1445144,11963,14509,,8.28,10.04,
410,03-Alicante/Alacant,Total,2001,1490265,12466,15177,,8.36,10.18,
411,03-Alicante/Alacant,Total,2002,1557968,12552,15855,,8.06,10.18,
412,03-Alicante/Alacant,Total,2003,1632349,13380,17067,,8.2,10.46,
